id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date
1191144021151760384,1190040368148090891,1572825839000,2019-11-04,01:03:59,CET,1120154734554304512,curse10outta10,🌛Social Justice Witch🌜 🇨🇦🌾🌹🌎📎🌈🐝♀️,,"JFC. Sooooo, you're just gonna double down on your ignorance......#SHAME  pic.twitter.com/zI7YCI4VXG","['pamfoundation', 'tagaq']",[],[],0,0,0,['#shame'],[],https://twitter.com/curse10outta10/status/1191144021151760384,False,,1,,,,,,,"[{'user_id': '1120154734554304512', 'username': 'curse10outta10'}, {'user_id': '32939851', 'username': 'pamfoundation'}, {'user_id': '75065396', 'username': 'tagaq'}]",
1190921744577683456,1190921744577683456,1572772844000,2019-11-03,10:20:44,CET,2859878845,sunny_jaiswall,Sunny jaiswal,,#Shame on Governments @PMOIndia @ArvindKejriwal https://twitter.com/DrKumarVishwas/status/1190869195677827072 …,"['pmoindia', 'arvindkejriwal']",['https://twitter.com/DrKumarVishwas/status/1190869195677827072'],[],0,0,0,['#shame'],[],https://twitter.com/Sunny_jaiswall/status/1190921744577683456,False,https://twitter.com/DrKumarVishwas/status/1190869195677827072,0,,,,,,,"[{'user_id': '2859878845', 'username': 'Sunny_jaiswall'}, {'user_id': '471741741', 'username': 'PMOIndia'}, {'user_id': '405427035', 'username': 'ArvindKejriwal'}]",
1190909053393940480,1190676442679373825,1572769819000,2019-11-03,09:30:19,CET,753832085261996033,enspixenalacara,Clint Is Good 🏅,,Where is my vote? I'm not represented in EU. #Shame  pic.twitter.com/fqfBKGk0Co,['eu_commission'],[],['https://pbs.twimg.com/media/EIb1ePTXsAIMlmT.jpg'],1,24,59,['#shame'],[],https://twitter.com/enspixenalacara/status/1190909053393940480,False,,0,,,,,,,"[{'user_id': '753832085261996033', 'username': 'enspixenalacara'}, {'user_id': '157981564', 'username': 'EU_Commission'}]",
1190874039130083331,1190874039130083331,1572761470000,2019-11-03,07:11:10,CET,1188876043483901953,comrade_iam,Siddharth,,Is this independent media...??? I think they innocent peoples don't know the fact that India is a secular country.. Or they are living in india. #shame #godimedia pic.twitter.com/VZF4l3Igi0,[],[],['https://pbs.twimg.com/media/EIbVnbzWsAA131n.jpg'],0,0,1,"['#shame', '#godimedia']",[],https://twitter.com/comrade_iam/status/1190874039130083331,False,,0,,,,,,,"[{'user_id': '1188876043483901953', 'username': 'comrade_iam'}]",
1190870679425413120,1190870679425413120,1572760669000,2019-11-03,06:57:49,CET,1101254376449064960,xboxhoneybear11,Shawn Miller,,Caught these teaming on a solo match after they tag teamed me. #shame #CallofDutyBlackOps4 #XboxShare pic.twitter.com/3AWYlaYwtd,[],[],[],0,0,0,"['#shame', '#callofdutyblackops4', '#xboxshare']",[],https://twitter.com/xboxhoneybear11/status/1190870679425413120,False,,1,,,,,,,"[{'user_id': '1101254376449064960', 'username': 'xboxhoneybear11'}]",
1190725544419188736,1190668275413389313,1572726067000,2019-11-02,21:21:07,CET,4544016208,maryalicebisho2,Mary Alice Bishop,,More disgrace to our White House.  Think about the souls that have roamed those halls. That is not who we are as a country.  #Shame,['hunterw'],[],[],2,2,10,['#shame'],[],https://twitter.com/MaryAliceBisho2/status/1190725544419188736,False,,0,,,,,,,"[{'user_id': '4544016208', 'username': 'MaryAliceBisho2'}, {'user_id': '18967418', 'username': 'hunterw'}]",
1190637897814331393,1190637897814331393,1572705170000,2019-11-02,15:32:50,CET,19660232,tinaduryea,TLDuryea,,Erasure of the black woman. #Shame  https://twitter.com/____taty/status/1190611538052341760 …,[],['https://twitter.com/____taty/status/1190611538052341760'],[],5,17,47,['#shame'],[],https://twitter.com/TinaDuryea/status/1190637897814331393,False,https://twitter.com/____Taty/status/1190611538052341760,0,,,,,,,"[{'user_id': '19660232', 'username': 'TinaDuryea'}]",
1190443014033821696,1190412185303949316,1572658706000,2019-11-02,02:38:26,CET,408185393,concango,TF,,"Wow ? But it's the fcking phrase invented by 1 of our boys and for us, their real fans only, not for fcking any group or the whole fcking kpop ! Especially don't ever use it for the shitty idol who doens't pay money back & being investigated by police for using drug !! #Shame",['itzreve'],[],[],0,1,29,['#shame'],[],https://twitter.com/concango/status/1190443014033821696,False,,0,,,,,,,"[{'user_id': '408185393', 'username': 'concango'}, {'user_id': '1162159620405809153', 'username': 'ItzReVe'}]",
1190344053088555008,1190253517199564800,1572635112000,2019-11-01,20:05:12,CET,1314511501,gletherby,Gayle Letherby 🌹 #VoteLabour,,Mental health slur + utterlly awful decision likely to benefit the Tories #Shame,"['thattimwalker', 'libdems']",[],[],0,20,163,['#shame'],[],https://twitter.com/gletherby/status/1190344053088555008,False,,0,,,,,,,"[{'user_id': '1314511501', 'username': 'gletherby'}, {'user_id': '60606206', 'username': 'ThatTimWalker'}, {'user_id': '5680622', 'username': 'LibDems'}]",
1190342077055266818,1190342077055266818,1572634641000,2019-11-01,19:57:21,CET,4203265799,chefreetuudayk,ChefReetuUdayKugaji,,Saddened-plight of #PMCBankDepositers SEVEN  #PMCBankAccountHolders die  #stress #cardiacarrest #Suicide #Shame on the people responsible for the heinous crime #PMCBankCrisis #delayeddecisions #Liveslost #PMCBankFraud #HonestTaxPayers #HardEarnedMoney @narendramodi @PMOIndia,"['narendramodi', 'pmoindia']",[],[],0,8,4,"['#pmcbankdepositers', '#pmcbankaccountholders', '#stress', '#cardiacarrest', '#suicide', '#shame', '#pmcbankcrisis', '#delayeddecisions', '#liveslost', '#pmcbankfraud', '#honesttaxpayers', '#hardearnedmoney']",[],https://twitter.com/chefreetuudayk/status/1190342077055266818,False,,0,,,,,,,"[{'user_id': '4203265799', 'username': 'chefreetuudayk'}, {'user_id': '18839785', 'username': 'narendramodi'}, {'user_id': '471741741', 'username': 'PMOIndia'}]",
